expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
8.336992,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5109491,1
12.85099,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3864898,2.5
17.36744,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3563324,0.5
26.40708,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2385938,2
30.91409,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2596342,1.5
35.42914,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2184229,1
39.94821,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2728173,1
44.46041,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1770635,1.5
48.97229,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2138402,2.5
53.49051,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1667681,2
58.00032,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2091104,1
62.5252,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1859384,1
71.5471,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3214726,0.5
76.06767,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3100459,1
80.58301,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3169356,1
94.14494,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2188714,2
103.1702,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2006673,2
107.6915,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2111102,2
112.2061,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3111442,0.5
116.7161,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3233157,2
125.7389,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3840373,2.5
130.2623,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3701927,0.5
134.7712,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2204681,2
