expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
5.145005,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.8329901,1
9.655755,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.4119121,2.5
14.17112,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.5445151,0.5
18.68881,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3450952,0.5
23.20473,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2535111,0.5
27.7176,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3681301,2.5
32.22522,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.4345131,2
41.25341,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3582309,0.5
45.77099,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3055759,0.5
50.27332,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2617435,0.5
54.78971,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2621716,1.5
63.82334,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2340243,0.5
68.32796,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.27735,0.5
72.84648,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3681306,0.5
77.36217,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.4100505,2
81.87825,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3137136,2.5
86.38748,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.81949,1.5
95.41309,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2319886,1.5
104.441,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2446982,1.5
113.462,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2266247,0.5
117.9847,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.3370591,1
122.4968,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2236503,1.5
127.0131,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.3872918,1
131.5362,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.268274,2
136.0554,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.531292,1
140.5928,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2492056,2
145.1028,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2808144,0.5
149.6093,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2237893,2
154.1303,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3177482,1.5
163.1965,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2480845,2.5
167.7209,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.4069051,1
172.2344,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2940166,2
176.7461,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.3954293,2
181.2616,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3274896,1.5
185.7928,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3070044,0.5
190.2931,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.3469118,2
194.818,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.6010917,1
199.3339,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3420479,1.5
203.8462,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3875615,0.5
208.3492,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4874582,2.5
221.8809,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.262468,1
