expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
5.531074,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3699235,1.5
14.54349,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2672205,0.5
19.05113,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3134249,1.5
23.5732,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3276008,0.5
28.09197,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2341272,2.5
32.60746,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2322486,0.5
37.12781,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2446006,1.5
41.63779,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3287212,1.5
46.1646,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4008443,0.5
50.67709,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2594925,0.5
64.23521,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5010664,0.5
68.75124,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4929641,1.5
73.26324,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4870101,2.5
82.28806,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2976247,0.5
86.80119,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.285059,1
91.3391,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4832179,1
100.3555,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.281574,1.5
104.8666,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4809331,2
109.3822,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4976045,0.5
118.4149,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2653514,2
122.9227,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3758344,1.5
127.4371,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4914465,2.5
131.9496,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4958378,2.5
136.4647,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5625359,1
140.9889,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4899915,2
145.5002,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4645937,2
150.0211,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.473204,2
154.5309,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,1.5
159.0478,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5751227,1.5
168.0848,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5485394,1
172.594,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.62173,0.5
177.1145,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5964909,1.5
181.6245,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5177757,0.5
186.1251,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.470487,2.5
190.6361,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.518344,1.5
195.1503,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3476807,2
199.6529,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4363131,1.5
208.6772,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5046617,1.5
213.2009,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4165227,1.5
217.7309,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.503064,2.5
222.2351,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4142596,1.5
226.7469,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.49423,2.5
231.267,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4970463,1.5
235.7795,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2892328,1.5
244.8225,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3253234,0.5
249.3252,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3770746,0.5
262.862,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2530823,2
267.3749,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.479241,2
271.884,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4853683,2.5
276.4072,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.462851,2.5
280.9178,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4743954,0.5
285.4304,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5543552,0.5
289.9427,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4869955,1.5
294.4596,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.435751,2
298.9767,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4702694,0.5
303.4967,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4600172,2
308.0139,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4201174,1
312.5289,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4967379,2.5
317.0315,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5320822,1
321.546,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4395064,1
330.5843,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2773672,1.5
335.1022,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4141144,1
339.6101,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2921024,1
344.1327,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3327917,1.5
348.6758,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5199772,2
353.1861,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4885687,2.5
357.6953,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.511834,1
362.205,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3730742,1
366.7173,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4789516,2.5
371.2342,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4373887,1
375.7463,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3050874,0.5
380.2802,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3172511,1
384.7948,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3582223,1.5
389.305,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3565331,1.5
393.8199,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5334454,0.5
398.3307,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2762248,1.5
407.3507,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2721691,1.5
411.8633,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2938856,1
420.8896,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3553443,1.5
425.4073,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3835331,2
429.9136,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4114363,0.5
434.4301,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4235689,2
438.9414,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3997343,2
443.4648,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4105888,2
447.969,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4754476,2
456.9942,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3610413,1
466.0316,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5515777,1.5
470.5449,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4626135,2
