expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
5.858479,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.6521158,0.5
10.36854,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2816704,1.5
14.87956,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3541378,1
19.39225,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2642707,2
28.41735,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2633525,2
32.93206,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2919163,2
37.43762,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2891851,1
41.95741,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.3161699,2
46.46732,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3732659,1
55.49057,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.2371327,0.5
59.99409,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.2542398,2.5
64.51399,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4885413,1.5
69.019,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3342656,1
73.53488,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.352823,0.5
82.57178,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3033387,1
87.08395,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.2535952,2.5
91.60223,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.2514041,2.5
96.11993,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.3296544,1.5
100.635,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.2861653,0.5
105.1474,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2313056,2
109.6625,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.4925466,0.5
114.1682,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2849228,1
118.6887,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2479819,1.5
127.7216,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2977799,2
136.7672,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2192855,1.5
141.291,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2973711,1
145.8166,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.4461491,1.5
150.3234,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3675952,1
154.8406,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.3570172,2.5
159.3566,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.3944452,1.5
168.3964,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2062241,2
177.4221,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2596478,1
181.9495,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5151531,1.5
186.4663,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.4255967,0.5
190.9695,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2353923,1.5
