expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
8.107484,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.3747626,2.5
17.14351,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1836174,2
21.66142,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2669909,1
26.19275,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1706719,2
39.72552,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.3329209,0.5
44.22739,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2175734,1
48.73534,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1778703,2.5
53.25473,T1,0,Approaching,LinearLooming,Vid00(Clone),0.2058029,0.5
57.77178,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2168543,1
62.29212,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1505761,2
71.31303,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.2014748,1.5
75.82304,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1836623,2.5
80.3399,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2450019,0.5
84.86018,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2200635,2.5
89.37937,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.1795807,1.5
93.89544,VT4,0,Approaching,LinearLooming,Vid00(Clone),Timeout,2
98.40826,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2611933,0.5
102.9173,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2757705,1
107.4226,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.20404,1
111.9324,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2237607,1
116.459,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1922646,2.5
120.9709,T5,0,Approaching,LinearLooming,Vid00(Clone),0.1803791,2.5
125.4777,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2367901,0.5
129.9945,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1921188,2
134.5168,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1611711,2
139.0288,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.2096497,1.5
143.5421,T4,0,Approaching,LinearLooming,Vid00(Clone),0.1846198,2
148.056,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2837429,1
152.5868,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2262508,1
157.0945,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.2064468,2
161.6063,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.22943,1.5
170.6288,T5,0,Approaching,LinearLooming,Vid00(Clone),0.1752786,2.5
175.151,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2190096,2.5
179.6694,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2824272,0.5
184.1866,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.1811741,1
188.7202,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.178626,2.5
197.754,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.1799393,1.5
202.2625,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2387331,1
206.772,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.2062333,1.5
211.294,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.2034767,2
215.8082,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.268531,0.5
220.327,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1822413,2
224.8718,T4,0,Approaching,LinearLooming,Vid00(Clone),0.1501053,2
233.8949,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2347396,1
238.4047,T3,0,Approaching,LinearLooming,Vid00(Clone),0.2614106,1.5
242.9369,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2430628,0.5
247.4461,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1885061,2.5
251.9766,VT4,0,Approaching,LinearLooming,Vid00(Clone),0.1884841,2
256.4958,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1707115,2.5
261.0023,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.1941574,1.5
265.5171,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.1912499,2.5
270.0252,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2257886,2.5
279.0486,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.2221248,1
283.5553,VT2,0,Approaching,LinearLooming,Vid00(Clone),0.272117,1
288.0633,VT3,0,Approaching,LinearLooming,Vid00(Clone),0.2611351,1.5
297.0834,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2194518,0.5
301.5942,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2301188,2.5
310.6128,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.220332,0.5
315.1284,T5,0,Approaching,LinearLooming,Vid00(Clone),0.2338707,2.5
319.6663,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2216017,2.5
324.185,VT5,0,Approaching,LinearLooming,Vid00(Clone),0.2229134,2.5
328.6894,VT1,0,Approaching,LinearLooming,Vid00(Clone),0.2922089,0.5
