expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
4.704058,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4905145,2.5
18.27279,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3278012,2
22.8053,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3822858,0.5
27.31935,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2525089,1
31.83631,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2392223,1.5
36.35047,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2725597,1
40.85662,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2466657,1
49.87358,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2524894,1.5
54.38898,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2346571,2
58.90445,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.353516,2.5
63.42166,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2085362,1.5
67.95224,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3966867,0.5
72.4679,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2265492,0.5
76.98651,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3218662,2.5
81.50014,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
86.01475,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3473729,2.5
95.03117,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3086277,1
99.54218,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3460245,1
104.0568,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3360836,1
113.1031,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3201032,1
117.6188,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2326177,2.5
122.141,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),Timeout,2
126.6747,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3441443,2.5
131.2009,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2281809,1.5
135.7227,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3007867,0.5
140.2476,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.308838,1
144.778,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2524579,1
149.291,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2899643,2
153.8134,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3031819,0.5
158.3247,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2343086,1.5
167.3523,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3567775,2
171.8689,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3277104,2.5
176.3878,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4222829,2
180.9043,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3414382,2.5
185.4147,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4367599,0.5
189.9414,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3078636,0.5
194.4547,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3403491,2
198.9761,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2798189,2
203.4888,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2931443,1.5
208.0018,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2938171,2
217.0298,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
221.5392,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2204292,2.5
226.0501,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
230.5641,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3156073,2
235.0755,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3470704,1.5
244.0976,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.660107,0.5
248.6216,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5438016,1.5
253.1401,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3372479,1.5
