expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
8.094472,VT3,0,Approaching,LinearLooming,Vid01(Clone),Timeout,1.5
12.60488,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.3581451,2
17.12671,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2055028,1
21.63359,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4913268,2.5
26.13794,VT2,0,Approaching,LinearLooming,Vid01(Clone),Timeout,1
30.65236,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.5007481,2.5
35.17339,VT4,0,Approaching,LinearLooming,Vid01(Clone),Timeout,2
39.69001,VT1,0,Approaching,LinearLooming,Vid01(Clone),Timeout,0.5
44.19377,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3533778,2.5
48.69754,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2786355,1
53.22403,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.2360437,2
62.24691,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.255375,1.5
71.28084,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2344126,1
75.78751,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2912935,1.5
84.83194,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.273829,2.5
89.34541,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.394732,2.5
93.8538,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.3328044,0.5
98.37177,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.3019297,2.5
102.8862,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.2332564,0.5
107.401,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.2197305,2.5
111.9074,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.2760907,2.5
120.9262,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.2733103,1
125.4364,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.3123663,1
134.4522,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2406444,1.5
138.9681,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.2334278,1.5
143.4773,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.329916,0.5
147.989,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.4088907,2.5
152.5115,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3713032,2
157.0265,VT4,0,Approaching,LinearLooming,Vid01(Clone),0.248772,2
161.5547,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.2840833,0.5
166.0626,VT1,0,Approaching,LinearLooming,Vid01(Clone),0.2380016,0.5
170.5778,VT5,0,Approaching,LinearLooming,Vid01(Clone),0.4463128,2.5
175.0929,VT2,0,Approaching,LinearLooming,Vid01(Clone),0.4095159,1
184.1462,VT3,0,Approaching,LinearLooming,Vid01(Clone),0.3617623,1.5
