expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
7.399007,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.5025369,0.5
11.91015,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2284871,0.5
16.43556,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.3015122,1
20.95082,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3693991,1.5
29.97963,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.4179297,2.5
34.50251,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2607676,1.5
43.54232,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3464344,0.5
52.57279,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2593788,0.5
57.08673,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3033956,0.5
61.60436,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2626725,2
66.11181,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2522493,2
70.62186,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3140054,1.5
75.1311,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2445017,1.5
79.63567,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3052122,2
84.15381,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2417867,2
88.66053,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2085777,2
93.1672,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3286339,0.5
97.68195,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2665906,0.5
106.7071,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2139997,0.5
111.2239,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2034855,1
120.2502,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3691253,2.5
124.7645,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2941173,0.5
129.2648,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2409418,1
133.7951,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2534518,1.5
142.8268,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2576823,2
147.3329,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2571877,1.5
151.8632,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2551853,0.5
156.402,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2432815,1.5
160.915,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2315566,2.5
174.4804,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3306465,2.5
178.9931,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2685527,1.5
188.0188,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2987856,0.5
192.5358,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2328815,1
197.0472,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2251102,2.5
