expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
7.444756,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.9388376,0.5
11.95276,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3658547,2.5
16.4705,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3463524,1
20.9866,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4068678,1
25.50654,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3502463,0.5
30.02579,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2875288,1.5
34.52877,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2985909,1.5
43.55336,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3440156,2.5
48.06696,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3795318,2
52.58854,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.6623055,0.5
57.10503,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2645672,2.5
61.61685,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2354157,2
66.13807,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3500858,1
70.66019,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2688234,2.5
75.1837,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.399506,1
84.22823,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2624437,1.5
88.74921,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3191438,1.5
93.25848,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3347606,2.5
97.76983,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.7541187,1
102.2809,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3262377,2
106.7943,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2590375,2
115.8157,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3052835,0.5
120.3324,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2714073,1.5
129.3513,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2504749,0.5
133.8652,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2562744,1
138.3887,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2874463,2.5
142.8936,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3445815,2.5
147.4069,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4081468,1
151.9176,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3447487,0.5
160.9512,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3761512,2
165.4657,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4579926,1
169.9827,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3704433,1
174.4967,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2487272,1.5
179.0199,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3674295,2.5
183.5294,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.336317,2
188.0541,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.9772012,0.5
192.5724,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4937823,2
