expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
6.071867,VT1,0,Approaching,LinearLooming,Vid10(Clone),Timeout,0.5
15.10548,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2937894,2.5
19.62207,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.7701461,1.5
24.1441,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3156356,1.5
33.18572,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4658306,2.5
37.69068,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.5125563,1
46.71335,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.3806576,1
51.22987,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2754622,2.5
55.73589,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3678975,1.5
60.24973,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3534331,0.5
64.76425,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3259907,0.5
69.27062,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3832204,2.5
73.7834,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.4170644,0.5
78.28873,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.4082665,1
82.80125,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2853942,1.5
91.82195,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.328159,2
96.33601,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3486831,0.5
100.8481,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3550387,1.5
114.3832,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.4252675,1
118.9137,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3964407,0.5
127.9533,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.3287326,2
132.4708,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.4059359,2
136.9919,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.489642,1
141.5016,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.353571,1
146.0153,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.5188907,1
150.5313,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.3439352,1
155.0447,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3177685,2.5
159.5546,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.4534926,1
168.5768,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.292849,2.5
173.0946,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3442707,0.5
177.613,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.3300293,0.5
182.1194,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.3434226,2
186.6246,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3574062,1.5
191.133,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.342312,1
195.6495,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.3947661,1.5
200.1634,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.5620314,1
