expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
9.280809,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.542469,0.5
18.30187,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3203826,2.5
22.81349,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3048481,1.5
27.3261,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2504721,1
31.84918,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.197269,2
40.87052,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2085004,2
45.3852,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2496845,2.5
49.89555,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3240191,1
54.41341,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2699847,1
58.92243,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3835993,0.5
63.43381,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2451897,1.5
67.94555,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2172972,1.5
76.9789,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2017959,1.5
86.00284,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2395417,1
90.50729,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.1916765,2
95.02385,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1962104,2
104.0525,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1877104,2.5
113.0944,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2490713,0.5
117.619,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1970731,1
122.1367,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1915924,1.5
126.6585,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1986686,1.5
131.1823,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2133951,1.5
135.6918,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2132673,1.5
140.2155,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1653467,2.5
149.2424,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1674505,2.5
153.7556,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.177536,2.5
162.7924,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1401496,1
167.3044,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2084448,2.5
171.8212,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1665259,1.5
176.3328,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2292807,0.5
180.8663,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1843378,2
185.3768,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2072825,2.5
198.9079,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2249453,2.5
203.4308,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2633098,0.5
207.9446,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1708916,2
212.4586,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.220679,2
216.9694,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2460701,1
221.4912,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.177538,2.5
226.0011,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.190088,2.5
230.5046,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4316624,0.5
235.0209,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2740294,0.5
239.5318,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.235202,0.5
244.043,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1800148,2
248.5652,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1829203,2.5
253.0725,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2874696,0.5
257.6037,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1671082,2.5
