expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
8.557135,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2340515,2.5
17.58151,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2398995,2
22.09749,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1911534,2.5
26.62284,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1820899,2.5
35.64845,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1766123,2.5
40.16532,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1901686,1.5
44.67233,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1932582,2
53.69319,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1870484,2
58.21384,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1982329,2.5
62.73922,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2004343,2
67.25482,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.1864807,1
71.78082,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.183428,2
76.29395,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1939706,2.5
80.80444,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2357081,0.5
85.3139,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.180572,2.5
89.83371,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2148416,0.5
94.36176,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2073965,2.5
98.8765,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2646703,1
112.4058,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1957557,2.5
116.9192,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1930467,2.5
121.4287,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2218838,1.5
125.9327,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2157661,1.5
130.438,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1828253,1.5
139.4589,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.187828,2
143.9689,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1776744,2
148.4795,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1796467,2.5
152.9909,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2068971,0.5
157.5003,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1799524,2
162.0049,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1923792,1.5
166.5295,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1841092,1.5
175.5575,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1882898,1.5
184.5842,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1835368,2.5
189.0987,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2145894,2.5
193.6074,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2002998,2
198.1139,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.160309,2
202.6314,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.247088,0.5
207.1481,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.1758992,0.5
211.6568,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2120777,1.5
216.1675,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1982894,1.5
220.6872,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1816791,2
225.2019,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2409958,1
229.7137,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.167475,2
234.2323,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2239946,1.5
238.7435,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1891479,2.5
243.2737,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.2053568,2
