expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
12.52567,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3995114,0.5
21.57518,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2812769,2.5
26.09304,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1978067,2
30.60234,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3022695,0.5
35.12357,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1839331,0.5
39.63477,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2115094,0.5
44.14368,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2374348,2.5
48.66372,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1772962,2
57.69337,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3027906,2.5
62.21761,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1566002,2
66.73916,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2237795,1.5
71.26473,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2385157,1
75.77637,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2089926,0.5
84.80872,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.198479,2
89.31753,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1852392,1.5
93.82197,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2087632,2
98.32894,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2097263,2.5
102.8465,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1983537,0.5
107.3664,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1974793,1.5
111.8847,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1715795,2
116.4041,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.340667,0.5
125.4326,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.222712,2
129.9405,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2759652,1
134.4538,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2265578,0.5
143.4864,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2381005,1
148.0039,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2018817,1.5
152.5116,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2371498,1
161.5381,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2148051,1
166.0488,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1848326,2.5
170.5736,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2738082,0.5
175.097,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.173141,1.5
179.6213,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.1861908,2.5
184.1452,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1867822,2.5
188.6643,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2505232,1.5
193.1801,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1971932,1.5
197.6939,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1712409,1.5
202.207,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1758724,2.5
211.2361,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1687931,2.5
224.7838,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1977293,1
229.2992,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.172685,2.5
233.829,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2748063,2
238.3461,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1750257,2
