expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
7.47876,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3946146,2.5
16.50773,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.254683,1.5
21.03279,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5913489,0.5
25.54219,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2297786,0.5
30.05518,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3043172,2.5
34.56606,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2399974,1.5
39.08673,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2411861,2.5
43.60339,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2303457,2
52.63192,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1479112,2.5
57.15892,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1652963,1.5
61.66973,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.270276,1.5
66.17797,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2574662,2
70.6912,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2021831,1
75.20992,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1952048,2
79.71569,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2055309,2
84.2323,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.291206,2
88.73955,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2653764,1
93.24979,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5050986,2.5
102.2695,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.189644,1
111.3011,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2632798,2
115.8192,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2436376,1
120.3319,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2042029,1.5
129.3413,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2318785,1
133.8477,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2565854,0.5
138.363,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2686694,2
142.8837,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4733786,2.5
147.3976,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2036184,2.5
151.9186,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1864964,1
156.4342,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2315948,1
165.4679,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2287066,0.5
169.9728,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2352466,1.5
174.4886,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1981963,1.5
179.0022,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1708026,2.5
183.5232,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1883004,2
188.0454,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1958459,0.5
197.0947,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
201.6287,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.168798,2
206.1422,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1945275,2.5
215.1529,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2059471,1
224.1705,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2191664,0.5
228.6859,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2151335,1
233.2058,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1900237,1
237.7201,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3321169,1
242.2414,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2730238,1
246.758,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2138683,1.5
251.2661,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1897789,2
255.7754,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.214548,1
269.3309,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2275446,1.5
273.8326,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2690876,1
278.3382,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2439904,2.5
282.8706,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5051084,2.5
287.3849,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5198295,0.5
291.9068,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.223774,2.5
296.4109,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.238999,1
300.9132,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2207735,2
305.4296,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5569148,1.5
309.9354,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2409471,2.5
314.4411,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2271091,2
318.956,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.233903,2.5
323.4616,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2192184,1
327.9742,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2315278,2
332.486,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1736535,2
336.9929,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2411181,0.5
341.5086,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2348468,1.5
346.0247,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,1
350.5266,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.233943,2.5
359.5594,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2208042,1
364.0723,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2532443,2.5
368.5839,T4,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5106124,2
373.1004,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.531836,2
377.6205,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3361789,1
382.1314,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2636243,0.5
391.1615,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2408684,0.5
395.6733,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3093789,1.5
404.707,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3447923,1
409.2227,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2433217,1.5
413.7577,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4624316,0.5
418.2722,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.238221,2.5
422.7826,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2347176,1.5
427.2997,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2535653,1.5
436.3195,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2016221,0.5
440.8323,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2449363,1.5
445.3512,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3138175,1
449.8659,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.188813,1.5
458.8994,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2029148,2
463.4171,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.4665847,2.5
467.9281,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.5304372,1.5
472.4304,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.478294,1
