expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
6.703635,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3639563,1
11.22272,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.212333,2.5
15.74339,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2046265,2
20.24609,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1882744,2
24.76748,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3346204,0.5
29.27773,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4085447,1.5
33.78693,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2301269,2.5
38.30569,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2082416,1
42.82747,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1844848,2.5
47.35126,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2761876,1
51.86917,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2779033,0.5
56.37103,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2357976,0.5
60.88272,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2066324,2.5
65.39361,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.264997,1.5
74.41488,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2234753,2
83.44044,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3140584,0.5
87.95084,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2400871,2.5
92.4593,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2673772,1
96.96954,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2314416,1
101.4922,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2046799,2.5
106.0026,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3119661,1
110.5226,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2313587,1.5
115.0274,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3129886,0.5
119.5456,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2567691,1.5
124.0581,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2643666,1
128.57,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2513918,2
133.0852,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.267675,0.5
137.589,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2426624,0.5
146.6114,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2052241,1.5
151.1249,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1893273,2.5
160.1394,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2761689,1.5
164.6711,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2658352,0.5
169.1758,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2154047,1
173.6999,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3240127,0.5
178.2112,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.272409,0.5
182.7187,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2314603,2
187.2341,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.221991,1.5
191.7502,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.218233,2.5
200.7669,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1711502,2.5
205.2844,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3130785,1
209.7938,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1795641,2.5
218.8311,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1943767,2
223.3521,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1881024,2.5
227.8701,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2711577,2
232.399,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2187044,1.5
250.4433,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2151771,1.5
254.9638,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.251451,1
259.468,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2776645,1.5
263.9835,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2569813,1
268.495,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1804627,2
273.0123,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1659295,2.5
277.5271,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2178137,2.5
282.0329,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1924192,2.5
