expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
42.43032,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.4514461,2.5
46.94456,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2665008,1
51.4664,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2299168,1
55.97166,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1837173,1.5
64.99969,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.227563,1
69.52061,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1873037,1.5
74.04583,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2059338,2.5
78.56172,T2,0,Approaching,LinearLooming,Vid10(Clone),0.2760824,1
83.08212,T1,0,Approaching,LinearLooming,Vid10(Clone),0.2008277,0.5
87.5923,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.3185999,2.5
92.10076,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2241303,1
96.60746,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1725225,2
101.1145,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2304908,2.5
105.6341,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2379994,0.5
110.1441,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.1850049,1.5
114.6532,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.206742,1.5
119.1642,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1666564,2.5
123.685,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.2524549,1
128.1979,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.2065977,1.5
132.7082,VT3,0,Approaching,LinearLooming,Vid10(Clone),0.182824,1.5
141.7232,VT2,0,Approaching,LinearLooming,Vid10(Clone),0.1937816,1
146.2434,VT4,0,Approaching,LinearLooming,Vid10(Clone),0.1840524,2
150.778,VT1,0,Approaching,LinearLooming,Vid10(Clone),0.2660924,0.5
155.2903,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.2065245,2.5
159.8003,VT5,0,Approaching,LinearLooming,Vid10(Clone),0.1961712,2.5
