expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
10.16024,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,2
19.2038,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3140284,1
23.72705,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3225382,1
28.23375,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
32.74194,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3557095,2
37.2541,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2152506,2.5
41.7697,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3919843,0.5
46.2838,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2021444,1.5
50.80195,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2678946,1.5
55.30968,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3845599,1
59.83262,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2530438,1.5
68.85925,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3892224,2.5
73.37207,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3196687,0.5
86.91116,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2496072,2
91.41785,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2794867,0.5
95.93011,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3563458,0.5
100.4401,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2977732,1.5
104.9553,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4102686,0.5
113.9976,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.31834,1
118.512,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3022513,1
127.5545,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.278834,0.5
132.0662,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3001436,2
136.5786,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.35127,0.5
141.1056,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3108222,1
145.6117,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2307258,1.5
150.1286,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2885362,2.5
154.6404,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2607984,2
159.1561,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5997839,1.5
163.669,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2785343,2
168.1835,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2100402,2.5
172.694,T3,0,Approaching,LinearLooming,Vid00 uni(Clone),0.306889,1.5
177.2174,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2591727,1
181.7281,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3065442,2
186.2444,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2554554,1
190.7639,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.303216,1
195.28,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2092063,1.5
199.8111,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.288385,2.5
204.3264,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2270346,1
208.8524,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2591286,2
217.9082,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2400865,1
222.4261,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3706243,0.5
226.9389,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3573444,0.5
231.4513,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.263946,2.5
235.967,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),Timeout,0.5
240.4694,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2369347,0.5
244.9948,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3340972,2.5
249.5143,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3442561,0.5
254.0289,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2147637,0.5
267.5891,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.248633,2
272.1216,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2770078,2.5
276.6307,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4647092,0.5
281.1439,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4495137,1
285.6484,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3029607,1
290.1587,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3033725,0.5
