expTime,condition, angle, approachingOrMovingAway, loomingMode, objectName, reaction time,trigger time
7.734786,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.7769606,0.5
12.26046,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2627352,1.5
16.78599,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.4410698,2
21.28897,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2663307,2
25.80775,T5,0,Approaching,LinearLooming,Vid00 uni(Clone),0.5002981,2.5
30.3321,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.258259,1
34.8538,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2610685,2
39.36399,T2,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3662266,1
43.88989,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2642095,2
48.40281,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2232301,2.5
52.92572,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3522069,1
57.43626,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.3285826,0.5
61.94619,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2240896,1
66.45614,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2439888,1
75.49165,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2491939,2
80.00442,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2401126,1.5
84.52148,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3768324,0.5
89.04092,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2413155,2.5
93.55937,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2441576,2.5
107.1157,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2515623,1.5
111.6197,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2442048,1
125.1618,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2535571,2
134.1989,VT1,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2349014,0.5
138.7087,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2327438,1.5
147.7339,VT4,0,Approaching,LinearLooming,Vid00 bim(Clone),0.1934121,2
152.2424,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2321954,1.5
156.7675,T1,0,Approaching,LinearLooming,Vid00 uni(Clone),0.2701045,0.5
170.3126,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.3052066,2.5
174.8284,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2308039,1.5
179.3449,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.241969,2.5
188.3574,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.190705,1.5
192.8701,VT5,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2238944,2.5
197.3885,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2683565,1
201.9011,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2392858,1.5
210.9352,VT3,0,Approaching,LinearLooming,Vid00 bim(Clone),0.2805994,1.5
215.4591,VT2,0,Approaching,LinearLooming,Vid00 bim(Clone),0.266961,1
